name,full_name,id,symbol
Zedur,Zedur Enerji Elektrik Uretim AS,19604,ZEDUR
Vakif Bankasi,Turkiye Vakiflar Bankasi TAO,19607,VAKBN
Vakif Leasing,Vakif Finansal Kiralama AS,19608,VAKFN
Vakko,Vakko Tekstil ve Hazir Giyim Sanayi Isletmeleri AS,19609,VAKKO
Vanet,Vanet Gida Sanayi Ic ve Dis Ticaret AS,19610,VANGD
Vestel Beyaz,Vestel Beyaz Esya Sanayi ve Ticaret AS,19611,VESBE
Vestel,Vestel Elektronik Sanayi ve Ticaret AS,19612,VESTL
Vakif GYO,Vakif Gayrimenkul Yatirim Ortakligi AS,19614,VKGYO
Viking Kagit,Viking Kagit ve Seluloz AS,19615,VKING
Yaprak Sut,Yaprak Sut ve Besi Ciftlikleri Sanayi ve Ticaret AS,19616,YAPRK
Yatas,Yatas Yatak ve Yorgan Sanayi Ticaret AS,19617,YATAS
AG Anadolu Group Holding,AG Anadolu Group Holding,19618,AGHOL
Yesil GYO,Yesil Gayrimenkul Yatirim Ortakligi AS,19619,YGYO
Yapi ve Kredi Bankasi,Yapi ve Kredi Bankasi AS,19620,YKBNK
Yapi Kredi Koray,Yapi Kredi Koray Gayrimenkul Yatirim Ortakligi AS,19623,KGYO
Yunsa,Yunsa Yunlu Sanayi ve Ticaret AS,19625,YUNSA
Zorlu Enerji,Zorlu Enerji Elektrik Uretim AS,19626,ZOREN
Brisa,Brisa Bridgestone Sabanci Lastik Sanayi ve Ticaret AS,19627,BRISA
Marka Yatirim,Marka Yatirim Holding AS,30974,MARKA
Beyaz Filo,Beyaz Filo Oto Kiralama AS,30979,BEYAZ
Dagi Yatirim,Dagi Yatirim Holding AS,30980,DAGHL
Denge Yatirim,Denge Yatirim Holding AS,30981,DENGE
Hub Girisim Sermayesi,Hub Girisim Sermayesi Yatirim Ortakligi AS,30983,HUBVC
Idealist Danismanlik,Idealist Danismanlik AS,30988,IDEAS
Nigbas Nigde Beton,Nigbas Nigde Beton Sanayi ve Ticaret AS,30990,NIBAS
Orge,Orge Enerji Elektrik Taahhut AS,30991,ORGE
Osmanli Menkul Degerler,Osmanli Menkul Degerler AS,30992,OSMEN
Ostim,Ostim Endustriyel Yatirimlar ve Isletme AS,30993,OSTIM
Oylum Sinai Yatirimlar,Oylum Sinai Yatirimlar AS,30994,OYLUM
Ozak GYO,Ozak Gayrimenkul Yatirim Ortakligi AS,30995,OZKGY
Polisan Holding,Polisan Holding AS,30996,POLHO
Sanifoam,Sanifoam Sunger Sanayi ve Ticaret AS,30997,SANFM
Teknosa,Teknosa Ic ve Dis Ticaret AS,31000,TKNSA
Ulaslar Turizm,Ulaslar Turizm Yatirimlari ve Dayanikli Tuketim Mallari Ticaret Pazarlama AS,31001,ULAS
Vakif Menkul,Vakif Menkul Kiymet Yatirim Ortakligi AS,31002,VKFYO
Yesil Yatirim,Yesil Yatirim Holding AS,31004,YESIL
Akdeniz Yatirim,Akdeniz Yatirim Holding AS,40440,AKGUV
Avrupa Yatirim,Avrupa Yatirim Holding AS,40444,AVHOL
Etiler Inci Bufe Gida,Etiler İnci Bufe Gida Sanayi ve Dis Ticaret AS,40446,ETILR
Flap Kongre,Flap Kongre Toplanti Hizmetleri Otomotiv ve Turizm AS,40447,FLAP
Halk GYO,Halk Gayrimenkul Yatirim Ortakligi AS,40448,HLGYO
Jantsa,Jantsa Jant Sanayi ve Ticaret AS,40449,JANTS
Bera,Bera Holding AS,40451,BERA
Kuyumcukent,Kuyumcukent Gayrimenkul Yatirimlari AS,40453,KUYAS
Mega Polietilen,Mega Polietilen Kopuk Sanayi ve Ticaret AS,40454,MEGAP
Merit Turizm,Merit Turizm Yatirim ve Isletme AS,40455,MERIT
Pegasus,Pegasus Hava Tasimaciligi AS,40456,PGSUS
Prizma Pres,Prizma Pres Matbaacilik Yayincilik Sanayi ve Ticaret AS,40457,PRZMA
TGS,TGS Dis Ticaret AS,40458,TGSAS
Taze Kuru,Taze Kuru Gida Sanayi ve Ticaret AS,40459,TKURU
Tumosan,Tumosan Motor ve Traktor Sanayi AS,40460,TMSN
ODAS Elektrik,ODAS Elektrik Uretim Sanayi Ticaret AS,40513,ODAS
Panora GYO,Panora Gayrimenkul Yatirim Ortakligi AS,40514,PAGYO
Turker Proje,Turker Proje Gayrimenkul Ve Yatirim Gelistirme AS,40957,TURGG
Aciselsan,Aciselsan Acipayam Seluloz Sanayi Ve Ticaret AS,40967,ACSEL
Akis GYO,Akis Gayrimenkul Yatirim Ortakligi AS,40968,AKSGY
Sekuro Plastik Ambalaj,Sekuro Plastik Ambalaj Sanayi AS,41595,SEKUR
Iz Yatirim,Iz Yatirim Holding Anonim Şirketi,44470,IZINV
Verusa Holding,Verusa Holding AS,44471,VERUS
Yayla Enerji,Yayla Enerji Uretim Turizm ve Insaat Ticaret AS,44473,YAYLA
SAN-EL,SAN-EL Muhendislik Elektrik Taahhut Sanayi ve Ticaret AS,44474,SANEL
Temapol,Temapol Polimer Plastik ve Insaat Sanayi Ticaret AS,48640,TMPOL
Rodrigo,Rodrigo Tekstil Sanayi ve Ticaret AS,102074,RODRG
Gediz Ambalaj,Gediz Ambalaj Sanayi ve Ticaret AS,941213,GEDZA
Korfez GYO,Korfez Gayrimenkul Yatirim Ortakligi AS,941214,KRGYO
Lider Faktoring,Lider Faktoring AS,941215,LIDFA
RTA,RTA Laboratuvarlari Biyolojik Urunler Ilac ve Makine Sanayi Ticaret AS,941217,RTALB
Servet GYO,Servet Gayrimenkul Yatirim Ortakligi AS,941218,SRVGY
Tugcelik Aluminyum,Tugcelik Aluminyum ve Metal Mamulleri Sanayi ve Ticaret AS,941219,TUCLK
Yeni Gimat,Yeni Gimat Gayrimenkul Yatirim Ortakligi AS,941220,YGGYO
Pamel Enerji,Pamel Yenilenebilir Elektrik Uretim AS,941684,PAMEL
Agesa,Agesa Hayat ve Emeklilik AS,942789,AGESA
Pergamon Status,Pergamon Status Dis Ticaret AS,942790,PSDTC
